番号,1701,
名前,高町 なのは,
呼び名,なのは,
CSTR,10,高町,;　苗字

;-------年齢指定----------------
CSTR,204,9,
CSTR,205,9,
CSTR,206,9,

;-------初期ステータス----------
;ステータスにおける基礎値
基礎,体力,800,
基礎,気力,1100,
基礎,性耐性,100,
基礎,攻撃,150,
基礎,防御,150,
基礎,敏捷,100,
基礎,知性,80,
基礎,射精,10000,
基礎,噴乳,10000,
能力,レベル,1,
基礎,空中ダッシュ,3,

;-------素質--------------------
素質,処女,1,
素質,パイパン,1,
素質,勝気,1,
素質,Ａ敏感,1,
素質,中距離得意,1,
素質,遠距離得意,1,
素質,空中得意,1,
素質,魔法使い,1,
素質,清純派,1,
素質,警察関係者,1,
素質,学生,1,;　小学生

;-------衣装--------------------
フラグ,40,100,
フラグ,41,201,
フラグ,42,300,
CSTR,9,バリアジャケットＮ,

;-------髪型--------------------
CSTR,12,ナチュラル,
CSTR,13,ツーサイドアップ,
CSTR,14,ツインテール,

;-------目つき--------------------
CSTR,18,普通,

;-------プロフィール-------------
;髪の色
CSTR,30,144//8//8,
;変身時の髪の色
CSTR,31,144//8//8,
;右目の色
CSTR,32,16//8//88,
;左目の色
CSTR,33,16//8//88,
;変身時の右目の色
CSTR,34,16//8//88,
;変身時の左目の色
CSTR,35,16//8//88,
;肌の色
CSTR,36,肌色,
;変身時の肌の色
CSTR,37,肌色,

;-------武器定義-----------------
CSTR,15,レイジングハート・エクセリオン// //通常,
CSTR,16,レイジングハート・エクセリオン// //通常,
CSTR,17,レイジングハート・エクセリオン// //通常,

;-------キャラフラグ------------
フラグ,10,75,;　変身能力のあるキャラの変身前の能力(デフォルトは25%)
フラグ,11,110,;　変身能力のあるキャラのSP変身後の能力(デフォルトは110%)


;-------変身能力関連------------
素質,変身能力,1,;　変身能力あり

;変身時のかけ声
CSTR,2,レイジングハート、セットアップ！,
フラグ,4,1,

;変身時の名乗り
CSTR,3,時空管理局武装隊の高町なのは士官候補生、行きます！,
フラグ,5,1,

;-------パーソナリティ----------
CSTR,40, 怒ると怖い,
CSTR,41, 負けず嫌い,
CSTR,42, 例え偽善でも正しいと思ったことをする,

;-------固有キャラフラグ--------
素質,固有キャラ,1,

