;武器カスタマイズ用データ

0,武器ＩＤ,;0=通常武器 1以上=ユニーク武器

;メインカテゴリ
1,斬撃
2,打撃
3,刺突
4,格闘打撃（腕）
5,格闘打撃（脚）
6,爪攻撃
7,棒術・長柄
8,投げ
9,抜刀術
10,鞭撃
11,ドリル
12,杭撃


14,チェインソー
15,ワイヤー（斬撃）

17,投擲武器（斬撃）
18,投擲武器（刺突）
19,投擲武器（爆発）
20,剣圧攻撃
21,衝撃波
22,気功弾
23,法力
24,念動力
25,発火能力
26,着弾爆発
27,放出系
28,射撃（実弾）
29,散弾（実弾）
30,掃射（実弾）
31,狙撃（実弾）
32,砲撃（実弾）
33,弓術（実弾）
34,射撃（ビーム）
35,散弾（ビーム）
36,掃射（ビーム）
37,狙撃（ビーム）
38,砲撃（ビーム）
39,弓術（ビーム）

94,専用描写Ａ
95,専用描写Ｂ
96,専用描写Ｃ
97,専用描写Ｄ
98,専用描写Ｅ
99,専用描写Ｆ

;サブカテゴリ
100,高速攻撃
101,重量級
102,エアリアル
103,ガン・カタ

;アクセサリ
200,攻撃後に排莢
201,攻撃後に排気
202,攻撃前に構え
203,攻撃前にリロード

297,専用開始Ａ
298,専用開始Ｂ
299,専用開始Ｃ

300,武器名元位置

;性能カスタマイズ用
500,戦闘スタイル


