;0番台　処女など重要素質
0,処女,;0で最初から非処女、3でキス未経験、2で両穴処女、1で処女、-1で処女喪失、-2は女性が男性化した場合の一時的な消去、
1,母乳体質,
2,お漏らし癖,
3,パイパン,;恥辱が溜まりやすい。
4,未熟,;妊娠できない、1で未熟、2で不妊
5,童貞,;0=非童貞、1=童貞、-2＝男性が女性化で一時削除

;10番台　性格　他のeraで言う一般的な素質
10,臆病,
11,恥ずかしがり屋,
12,勝気,
13,元気っ子,
14,おっとり,
15,面倒くさがり,
16,真面目,
17,楽天家,
18,悲観的,
19,素直,
20,ツンデレ,
21,ヤンデレ,
22,無口,
23,おしゃべり,
24,古風,
25,かるい性格,
26,意地っ張り,
27,乱暴者,
28,感情乏しい,
29,アイドル,

;100番台　敏感、鈍感など
100,Ｃ敏感,;PALAM:快Ｃが上がりやすい
101,Ｃ鈍感,;PALAM:快Ｃが上がりにくい
102,Ｖ敏感,;PALAM:快Ｖが上がりやすい
103,Ｖ鈍感,;PALAM:快Ｖが上がりにくい
104,Ａ敏感,;PALAM:快Ａが上がりやすい
105,Ａ鈍感,;PALAM:快Ａが上がりにくい
106,Ｂ敏感,;PALAM:快Ｂが上がりやすい
107,Ｂ鈍感,;PALAM:快Ｂが上がりにくい

;110番台　身体的特徴
110,貧乳,;ABL:Ｂ感覚が上げにくい。快Ｂが上がりにくい　1=貧乳　2=絶壁
111,巨乳,;ABL:Ｂ感覚が上げやすい。快Ｂが上がりやすい　1=巨乳　2=爆乳　3=超乳　4=魔乳　5=奇乳
112,濡れやすい,
113,濡れにくい,
114,回復早い,
115,回復遅い,
116,小柄
117,長身

;150番台　状態系
150,触手の虜,;恭順,欲情,屈服に補正
151,淫乱,;潤滑,欲情,恥情に補正
152,精神崩壊,;（未実装）
153,淫核,;Ｃ部位の上位素質。快Ｃが伸びやすい。夜這いイベントの発生条件
154,淫壷,;Ｖ部位の上位素質。快Ｖが伸びやすい。夜這いイベントの発生条件
155,淫尻,;Ａ部位の上位素質。快Ａが伸びやすい。夜這いイベントの発生条件
156,淫乳,;Ｂ部位の上位素質。快Ｂが伸びやすい。夜這いイベントの発生条件
159,妊娠,;1=触手　2=戦闘中潜伏期間　3=ヒト　4=正常妊娠潜伏期間　5=正常妊娠
160,寄生,
161,苗床化,

;180番台　戦技に関する素質
180,近距離得意,
181,近距離苦手,
182,中距離得意,
183,中距離苦手,
184,遠距離得意,
185,遠距離苦手,
186,空中得意,
187,空中苦手,

190,Ｃ結界,
191,Ｖ結界,
192,Ａ結界,
193,Ｂ結界,

;200番台　変身能力と種族関係
200,変身能力,;変身能力があるかどうか 0=なし　1=あり　-1=非戦闘員
201,人間,
202,異能力者,
203,魔法使い,
204,ロボっ子,
205,天使,
206,魔族,
207,鬼,
208,妖精族,
209,ケモミミ族,
210,ヴァンパイア,
211,ポリニアン,

;250番台　オプション系素質（299番までステータス画面には非表示）
250,変身時濡れやすさ変動,;（オトコ→女にＴＳするキャラ専用）
251,変身時Ｖ感覚変動,;（オトコ→女にＴＳするキャラ専用）

253,変身時体格変動,;0=なし　下限-2　上限+2
254,変身時胸サイズ変動,;0=なし　下限-7　上限+7

260,体型乱数値指定,
261,体型成長曲線指定,
262,身長指定,
263,体重指定,
264,胸囲指定,
265,胴囲指定,
266,腰囲指定,
267,変身時身長指定,
268,変身時体重指定,
269,変身時胸囲指定,
270,変身時胴囲指定,
271,変身時腰囲指定,

280,身長成長率乱数,;1-11
281,身長補正乱数,;1-31
282,体重乱数,;1-59
283,胴囲乱数,;1-15
284,腰囲乱数,;1-16
285,アンダー乱数,;1-13
286,胸の張り乱数,;1-23
287,胸成長率乱数,;1-7
288,胸サイズ補正乱数,;1-53

;300番台
;特殊体質
300,ふたなり,;ふたなりになる、1= 後天ふたなり 2= 寄生ふたなり 3= 天然ふたなり
301,清純派,;一部のコマンド使用不可と引き換えに純潔度にボーナス。特定条件で喪失(-1に)。
302,性徴停滞,;肉体が幼いまま性徴しない。娘キャラ専用
303,避妊結界,;触手の精子による妊娠を防止する結界を張る能力

;350番台
;情報関係
;コネクション
350,噂好きの友人,
351,警察関係者,
352,情報屋,
353,裕福な実家,

;400番台
;オトコ関係
400,オトコ,
401,変身時ＴＳ,
402,変身時非処女,
403,女体受容
404,変身時ふたなり,;

;500番台
;R-18G関係
500,痣,
501,出血,
502,やけど,
503,骨折,
504,内臓破裂,
505,部位欠損,
506,子宮崩壊,

;600番台　精神素質
600,内向的,;		経験値効率がアップ	情報収集の効率がダウン
601,社交的,;		情報収集の効率がアップ	クズ市民に狙われやすい
602,自分勝手,;		経験値効率アップ	戦闘支援の効果ダウン
603,献身的,;		戦闘支援の効果アップ	戦闘支援の消費アップ
604,小心者,;		苦痛が上昇しやすい	クズ市民に狙われにくい
605,プライド高い,;	屈服が上昇しにくい	屈服刻印Lv3以上で効果逆転
606,保守的,;		習得が上昇しにくい	性行為による体力気力の消費ダウン
607,好奇心,;		習得が上昇しやすい	性行為による体力気力の消費アップ
608,サド気質,;		攻撃直撃で気力回復、ただし欲情が増加
609,マゾ気質,;		マゾっ気が成長しやすい
610,快楽に弱い,;	理性強度-2		恭順が上昇しやすい	苦痛が上昇しにくい
611,快楽の否定,;	理性強度+2		屈服が上昇しやすい	欲情が上昇しにくい
612,争いを好まない,;	戦意強度-2		恐怖が上昇しやすい	屈服が上昇しにくい
613,喧嘩上等,;		戦意強度+2		欲情が上昇しやすい	恐怖が上昇しにくい
614,恥じらい,;		恥情が上昇しやすい	恭順が上昇しにくい
615,度胸,;		恥情が上昇しにくい	欲情が上昇しやすい
616,人間不信,;		異性相手でも夜這いが発生しにくくなる
617,両刀,;		性別にかかわらず夜這いが発生しやすくなる
618,男性苦手,;		男性に対する夜這いが発生しにくくなる
619,女性苦手,;		女性に対する夜這いが発生しにくくなる
620,母性的,;		人気度が上昇しやすい	恭順が上昇しやすい
621,小悪魔,;		人気度が上昇しやすい	屈服が上昇しやすい
622,目立ちたがり,;	人気度が上昇しやすい	苦痛が上昇しやすい
623,上品,;		人気度が上昇しやすい	恥情が上昇しやすい
624,泣き虫,;	人気度が上昇しやすい	恐怖が上昇しやすい
625,潔癖症,;     欲情、屈服上昇しにくい、恥情上昇しやすい		

;800番台
;妄想支援フレーバー系素質
800,交際相手,; 1= 片思い　2= 彼氏持ち　3= 婚約　4= 人妻　5= 未亡人

801,学生,; 1= 小学生　2= 中学生　3= 高校生　4= 大学生

810,家族関係,; 1= 弟持ち　2= 妹持ち　3= 兄持ち　4= 姉持ち　5=幼い息子　6=幼い娘　7=年頃の息子　8=年頃の娘
811,アクセサリ,
;メガネっ娘
;アホ毛
;お嬢様

812,外見,
813,変身時外見,
;安産型
;むちむち
;イカ腹
;スレンダー

;900番台
;システム用非表示素質
900,性別変化,
901,主観視点,
902,口上設定,

;特別な素質
997,変身能力獲得,;0= 選択肢を表示する  1= 変身能力を獲得する  -1= 変身能力を獲得しない
998,初期経験設定不可,;これを持っていると初期経験を設定できなくなる
999,固有キャラ,;これを持っていなければ汎用キャラとして扱われる


;フィート関連
1100,平凡,
1101,巻き込まれ体質,
1102,攻勢構築,
1103,魔力貯蔵,
1104,超反応,
1105,神器の担い手,
1106,闘争本能,
1107,溢れる生命力,
1108,精霊交信,
1109,獣性の証,
1110,夜魔の貴族,

1200,秘められし力,
1201,ラッキーチャーム,
1202,生粋の戦士,
1203,剛腕,
1204,有翼,
