番号,102,
名前,柊 葵,
呼び名,葵,
CSTR,10,柊,;　苗字
 
;-------年齢指定----------------
CSTR,204,15,
CSTR,205,15,
CSTR,206,15,
 
;-------初期ステータス----------
;ステータスにおける基礎値
基礎,体力,1000,
基礎,気力,1100,
基礎,性耐性,110,
基礎,攻撃,110,
基礎,防御,90,
基礎,敏捷,100,
基礎,知性,110,
基礎,射精,10000,
基礎,噴乳,10000,
能力,レベル,1,
基礎,空中ダッシュ,2,
 
;-------素質--------------------
素質,処女,1,
素質,無口,1,
素質,Ｃ敏感,1,
素質,Ｖ敏感,1,
素質,Ａ敏感,1,
素質,Ｂ敏感,1,
素質,貧乳,1,
素質,小柄,1,
素質,近距離苦手,1,
素質,遠距離得意,1,
素質,空中苦手,1,
素質,Ｖ結界,1,
素質,人間,1,
素質,清純派,1,
素質,マゾ気質,1,
素質,快楽に弱い,1,
素質,恥じらい,1,
素質,交際相手,1,;　片思い
素質,学生,2,;　中学生
素質,家族関係,3,
素質,外見,3,
 
;-------衣装--------------------
フラグ,40,100,
フラグ,41,299,
フラグ,42,300,
 
;-------髪型--------------------
CSTR,12,ナチュラル,
CSTR,13,ショートヘア,
CSTR,14,ショートヘア,
 
;-------目つき--------------------
CSTR,18,普通,

;-------プロフィール-------------
;髪の色
CSTR,30,40//24//24,
;変身時の髪の色
CSTR,31,8//125//255,
;右目の色
CSTR,32,青,
;左目の色
CSTR,33,青,
;変身時の右目の色
CSTR,34,40//24//24,
;変身時の左目の色
CSTR,35,40//24//24,
;肌の色
CSTR,36,255//200//180,
;変身時の肌の色
CSTR,37,255//200//180,
 
;-------武器定義-----------------
CSTR,15,設置トラップ＆ナイフ// //設置,
CSTR,16,ナイフ召喚// //連続,
CSTR,17,閃砲"ユピテル・サンダー"// //知略,
 
;-------キャラフラグ------------
フラグ,10,15,;　変身能力のあるキャラの変身前の能力(デフォルトは25%)
フラグ,11,120,;　変身能力のあるキャラのSP変身後の能力(デフォルトは110%)
 
 
;-------変身能力関連------------
素質,変身能力,1,;　変身能力あり
 
;変身後の名前
CSTR,0,イノセントブルー,
フラグ,2,1,
 
;変身後の呼び名
CSTR,1,イノセントブルー,
フラグ,3,1,
 
;変身時のかけ声
CSTR,2,……セットアップ!!,
フラグ,4,1,
 
;-------パーソナリティ----------
CSTR,40,   小さい頃からよく行く整体師おじさんに躰を狙われている,
CSTR,41,   むっつりスケベ,
CSTR,42,   感度◎　被虐願望〇,
 
;-------キャラメイクボーナス----------
フラグ,50,-10,;体力
フラグ,51,10,;気力
フラグ,52,5,;性耐性
フラグ,53,15,;攻撃
フラグ,54,-20,;防御
フラグ,55,-10,;敏捷
フラグ,56,20,;知性
 
;生成終了=============================================================================
